palavra,dificuldade
azul,facil
preto,facil
branco,facil
verde,facil
vermelho,facil
amarelo,facil
rosa,facil
roxo,facil
cinza,facil
marrom,facil
bege,facil
lilas,facil
ocre,facil
anil,facil
jade,facil
neon,facil
ouro,facil
prata,facil
vinho,facil
salmao,facil
turquesa,media
magenta,media
carmim,media
escarlate,media
mostarda,media
grafite,media
esmeralda,media
ametista,media
lavanda,media
bordo,media
chumbo,media
safira,media
coral,media
terracota,media
pessego,media
champanhe,media
cobre,media
bronze,media
indigo,media
menta,media
ceruleo,dificil
ultramarino,dificil
fucsia,dificil
amaranto,dificil
perolado,dificil
iridescente,dificil
opalescente,dificil
acinzentado,dificil
esverdeado,dificil
azulado,dificil
amarelado,dificil
violaceo,dificil
vinaceo,dificil
ferrugem,dificil
ardosia,dificil
taupe,dificil
aubergine,dificil
chartreuse,dificil
malva,dificil
sepia,dificil
