palavra,dificuldade
futebol,facil
volei,facil
tenis,facil
boxe,facil
skate,facil
surf,facil
basquete,facil
natacao,facil
corrida,facil
xadrez,facil
golfe,facil
judo,facil
karate,facil
ciclismo,facil
handebol,facil
beisebol,facil
softbol,facil
rugby,facil
remo,facil
vela,facil
atletismo,media
levantamento,media
patinacao,media
badminton,media
esgrima,media
pentatlo,media
triatlo,media
snowboard,media
escalada,media
automobilismo,media
motocross,media
windsurf,media
kitesurf,media
taekwondo,media
muaythai,media
mma,media
halterofilismo,media
canoagem,media
poloaquatico,media
orienteering,media
parapente,dificil
parkour,dificil
bobsleigh,dificil
skeleton,dificil
curling,dificil
biatlo,dificil
decathlon,dificil
heptathlon,dificil
freeski,dificil
slopestyle,dificil
telemark,dificil
enduro,dificil
speedway,dificil
motoball,dificil
footgolf,dificil
korfball,dificil
kabaddi,dificil
sepaktakraw,dificil
lucha,dificil
pelota,dificil
