palavra,dificuldade
mesa,facil
cadeira,facil
copo,facil
prato,facil
garfo,facil
faca,facil
colher,facil
livro,facil
caneta,facil
lapis,facil
bolsa,facil
mochila,facil
sapato,facil
camisa,facil
calca,facil
chave,facil
porta,facil
janela,facil
espelho,facil
relogio,facil
computador,media
teclado,media
mouse,media
monitor,media
impressora,media
televisao,media
ventilador,media
liquidificador,media
microondas,media
geladeira,media
fogao,media
cafeteira,media
aspirador,media
furadeira,media
parafusadeira,media
estante,media
guarda roupa,media
abajur,media
persiana,media
cabide,media
estetoscopio,dificil
osciloscopio,dificil
microscopio,dificil
centrifuga,dificil
termometro,dificil
barometro,dificil
altimetro,dificil
anemometro,dificil
cronometro,dificil
espectrometro,dificil
fotometro,dificil
calorimetro,dificil
odometro,dificil
manometro,dificil
densimetro,dificil
higrometro,dificil
polarimetro,dificil
refratometro,dificil
sonometro,dificil
luximetro,dificil
