palavra,dificuldade
brasil,facil
canada,facil
chile,facil
peru,facil
italia,facil
franca,facil
egito,facil
china,facil
japao,facil
india,facil
mexico,facil
belgica,facil
holanda,facil
grecia,facil
turquia,facil
polonia,facil
suecia,facil
noruega,facil
finlandia,facil
islandia,facil
argentina,media
portugal,media
alemanha,media
australia,media
colombia,media
venezuela,media
uruguai,media
paraguai,media
bolivia,media
equador,media
marrocos,media
argelia,media
tunisia,media
indonesia,media
tailandia,media
filipinas,media
malasia,media
singapura,media
romenia,media
bulgaria,media
azerbaijao,dificil
cazaquistao,dificil
uzbequistao,dificil
quirguistao,dificil
tajiquistao,dificil
turcomenistao,dificil
liechtenstein,dificil
luxemburgo,dificil
moçambique,dificil
zimbabue,dificil
mauritania,dificil
madagascar,dificil
seychelles,dificil
guatemala,dificil
honduras,dificil
el salvador,dificil
trinidad,dificil
tobago,dificil
suriname,dificil
bangladesh,dificil
